,domain,avg_proba
0,aliexpress,0.5492023514407625
1,apple,0.4529374724125319
2,bestbuy,0.5601206254497825
3,bjs,0.6459195341370099
4,ebay,0.5680033446903885
5,flipkart,0.5322020353194312
6,frontierpc,0.34870310407922533
7,newegg,0.5732619538100849
8,overstock,0.42454039344804706
9,samsclub,0.39919796298047466
10,searsoutlet,0.44941943227978487
11,shop,0.523158605657131
12,shoplenovo,0.4251281106719979
13,target,0.6267613155462659
14,techspot,0.5226746908915852
15,tesco,0.5860878289696131
16,walmart,0.5762773347388409
