,domain,url,name,rating_count,rating_value,has_image,identifier_count,list_length,list_rows,table_length,table_rows,description_length,label
0,aliexpress,http://www.aliexpress.com/item/14-inch-Laptop-Dual-Core-Win-7-4GB-DDR3-RAM-640GB-HDD-Laptops-ultrabook-mini-laptop/32506039169.html?ws_ab_test=searchweb201556_1_79_78_77_80%2Csearchweb201644_5%2Csearchweb201560_9&_escaped_fragment_=,1,,,0,0,674,29,0,0,0.0,1
1,aliexpress,http://www.aliexpress.com/item/2014-Brand-New-14-inch-laptop-Russian-keyboard-Notebook-computer-4G-RAM-320G-HDD-1600-900/1999853717.html?_escaped_fragment_=,1,,,0,0,747,32,0,0,0.0,1
2,aliexpress,http://www.aliexpress.com/item/High-Original-Used-Laptop-Notebook-Computer-8440P-14-Inch-Cpu-I5-4GB-Rom-500GB-HDD-Webcam/32380560442.html?ws_ab_test=searchweb201556_6_79_78_77_80%2Csearchweb201644_5%2Csearchweb201560_9&_escaped_fragment_=,1,,,0,0,656,27,0,0,0.0,1
3,aliexpress,http://www.aliexpress.com/item/New-Arrivals-in-August-9-inch-android-Tablet-PC-E90X-AllWinner-A20-Dual-Core-1-5GHz/1363447364.html?ws_ab_test=searchweb201556_6_79_78_77_80%2Csearchweb201644_5%2Csearchweb201560_9&_escaped_fragment_=,1,,,0,0,770,23,0,0,0.0,1
4,aliexpress,http://www.aliexpress.com/item/14-inch-Laptop-Computer-Tablet-Russia-Keyboard-Windows-7-Dual-Core-2G-RAM-160G-HDD-Bluetooth/32480920152.html?ws_ab_test=searchweb201556_9_79_78_77_80%2Csearchweb201644_5%2Csearchweb201560_9&_escaped_fragment_=,1,,,0,0,744,31,0,0,0.0,1
5,aliexpress,http://www.aliexpress.com/item/Lenovo-15-6-i7-8GB-1TB-GTX860M-4GB-RAM-4K-DDR5-3840-2160-Tablet-Pc-Notebook/32281581541.html?ws_ab_test=searchweb201556_1_79_78_77_80%2Csearchweb201644_5%2Csearchweb201560_9&_escaped_fragment_=,1,,,0,0,791,33,0,0,0.0,1
6,aliexpress,http://www.aliexpress.com/item/New-14-1-inch-Metal-laptop-computer-Intel-D2600-1-86GHZ-2GB-250GB-WIFI-Windows7-laptop/32245056493.html?ws_ab_test=searchweb201556_1_79_78_77_80%2Csearchweb201644_5%2Csearchweb201560_9&_escaped_fragment_=,1,,,0,0,615,28,0,0,0.0,1
7,aliexpress,http://www.aliexpress.com/item/15-6Inch-Ulatrabook-Laptop-with-DVD-RW-4G-500GB-Optional-WIFI-Webcam-Bluetooth-Card-Reader-1080P/1865279427.html?ws_ab_test=searchweb201556_1_79_78_77_80%2Csearchweb201644_5%2Csearchweb201560_9&_escaped_fragment_=,1,,,0,0,651,26,0,0,0.0,1
8,aliexpress,http://www.aliexpress.com/item/9-7-inch-Onda-V919-3G-Air-Dual-Boot-Windows-10-Android-4-4-Tablet-PC/32536442465.html?ws_ab_test=searchweb201556_6_79_78_77_80%2Csearchweb201644_5%2Csearchweb201560_9&_escaped_fragment_=,1,,,0,0,791,24,0,0,0.0,1
9,aliexpress,http://www.aliexpress.com/item/u-disk-The-Star-wars-Movie-usb-flash-drive-2gb-4gb-8gb-16gb-32gb-flash-usb/32303111851.html?ws_ab_test=searchweb201556_2_79_78_77_80%2Csearchweb201644_5%2Csearchweb201560_9&_escaped_fragment_=,1,4480,4.8,0,0,529,18,0,0,0.0,1
10,aliexpress,http://www.aliexpress.com/item/Super-Maingear-laptop-i7-4700-2-5GHZ-1T-barebone-laptop-computer-super-gaming-laptop-notebook-GTX860/32259199966.html?ws_ab_test=searchweb201556_7_79_78_77_80%2Csearchweb201644_5%2Csearchweb201560_9&_escaped_fragment_=,1,,,0,0,639,27,0,0,0.0,1
11,aliexpress,http://www.aliexpress.com/item/New-13-3-inch-RK3188-quad-core-1-gb-16-gb-IPS-Gao-Qingbing-ultra-thin/32302679659.html?ws_ab_test=searchweb201556_9_79_78_77_80%2Csearchweb201644_5%2Csearchweb201560_9&_escaped_fragment_=,1,,,0,0,608,26,0,0,0.0,1
12,aliexpress,http://www.aliexpress.com/item/For-Polo-PROTAX-HD520-Digital-Camera-16MP-CMOS-Sensor-HD-720P-2-5-LTPS-LCD-Screen/32393863397.html?ws_ab_test=searchweb201556_9_79_78_77_80%2Csearchweb201644_5%2Csearchweb201560_9&_escaped_fragment_=,1,,,0,0,674,27,0,0,0.0,1
