domain,name,description_length,rating_value,rating_count,is_image,identifier_count,table_length,list_length
Aliexpress,1.0,,0.06666666666666667,0.06666666666666667,,,0.06666666666666667,1.0
Apple,1.0,1.0,,,1.0,,,
Bestbuy,1.0,0.8,0.9333333333333333,,,0.3333333333333333,,1.0
Bjs,1.0,1.0,0.26666666666666666,0.26666666666666666,1.0,,1.0,0.9333333333333333
Conns,,,,,,,,
Ebay,1.0,,0.5333333333333333,0.5333333333333333,0.9333333333333333,0.9333333333333333,1.0,0.06666666666666667
Flipkart,1.0,,,,,,1.0,0.26666666666666666
Newegg,1.0,,,,,,,
Overstock,1.0,1.0,1.0,,1.0,0.9333333333333333,1.0,1.0
Samsclub,1.0,1.0,,,1.0,0.9333333333333333,0.4666666666666667,0.13333333333333333
Searsoutlet,1.0,1.0,,,,1.0,,
Selection.alibaba,,,,,,,,
Shop,1.0,1.0,,,1.0,,,0.26666666666666666
Target,1.0,0.7857142857142857,,,1.0,,,
Techspot,1.0,0.9333333333333333,0.9333333333333333,,1.0,,,0.6
Tesco,1.0,1.0,,,1.0,,1.0,
Walmart,1.0,,,,1.0,,1.0,0.9333333333333333
shop.lenovo,,,,,,,,
